street;country;country;capital;lat;lng;Accuracy;NbAdrReturned;Error/Address;Code
1;United Arab Emirates;United Arab Emirates;Abu Dhabi;24.4377778;54.4077778;0;8;Jazirat Abu Zaby - Abou Dabi - Émirats arabes unis;200
1;Argentina;Argentina;Buenos Aires;-34.6961861;-58.4437523;6;11;Camarero, Villa Fiorito, Province de Buenos Aires, Argentine;200
1;Austria;Austria;Vienna;48.1851718;16.3115963;4;5;Gardezimmer, 1130 Vienne, Autriche;200
1;Australia;Australia;Canberra;-35.3004601;149.1366602;6;1;1, Parkes Place, Canberra Territoire de la capitale australienne 2600, Australie;200
1;Bosnia and Herzegovina;Bosnia and Herzegovina;Sarajevo;43.8249916;18.3299188;9;11;Aéroport international de Sarajevo (SJJ), Sarajevo, Bosnie-Herzégovine;200
1;Belgium;Belgium;Brussels;50.8438477;4.3605118;8;1;1, Rue Baron Horta 13, 1000 Bruxelles, Belgique;200
1;Bulgaria;Bulgaria;Sofia;42.7269093;23.5567529;6;1;1;200
1;Brazil;Brazil;Brasilia;-15.7551482;-47.8668003;6;7;Via Scen Trecho 1 - Brasília, Brasilia - District fédéral, 70800-110, Brésil;200
1;Botswana;Botswana;Gaborone;-24.6106771;25.9214563;6;5;A 1, Gaborone, Botswana;200
1;Belarus;Belarus;Minsk;53.9026613;27.5638482;8;1;1, Minsk, Biélorussie;200
1;Canada;Canada;Ottawa;45.322778;-75.6680455;5;3;#1, Ottawa International Airport (YOW), Ottawa, ON K1V 9B2, Canada;200
1;Central African Republic;Central African Republic;Bangui;4.4659119;18.5142262;6;1;RN 1, Bangui, République centrafricaine;200
1;Switzerland;Switzerland;Berne;46.9527552;7.3967381;6;2;1, Berne, Suisse;200
1;China;China;Beijing;39.7341745;116.3673407;6;10;1st Alley, District de Daxing, Pékin, République populaire de Chine;200
1;Cyprus;Cyprus;Nicosia;35.2124191;33.3420676;6;10;1. Sokak, Nicosie;200
1;Germany;Germany;Berlin;52.4944453;13.2909256;6;4;1, 10711 Berlin, Allemagne;200
1;Denmark;Denmark;Copenhagen;55.6867459;12.5616929;9;12;The Copenhagen Lakes, Peblinge Dossering 6, 2200 Copenhague, Danemark;200
1;Dominican Republic;Dominican Republic;Santo Domingo;18.4827699;-69.9290285;6;7;Expreso John F. Kennedy, Saint Domingue, République dominicaine;200
1;Algeria;Algeria;Algiers;36.7237099;3.0909173;6;6;Rue Ali Alliche, Alger, Algérie;200
1;Estonia;Estonia;Tallinn;59.4244217;24.789064;6;1;1, Estonie;200
1;Spain;Spain;Madrid;40.4480747;-3.6928326;8;4;1, Paseo de la Castellana, 85, 28046 Madrid, Espagne;200
1;Finland;Finland;Helsinki;60.2325651;25.0474843;8;1;1, 00790 Helsinki, Finlande;200
1;France;France;Paris;48.8623542;2.3429009;4;10;1, 75001 Paris, France;200
1;United Kingdom;United Kingdom;London;51.6223439;-0.0594649;8;3;1, District londonien d'Enfield, Londres N9 0TZ, Royaume-Uni;200
1;Georgia;Georgia;Tbilisi;41.6911081;44.8039862;8;1;1, Tbilissi, Géorgie;200
1;Greenland;Greenland;Nuuk;64.1715714;-51.7347935;9;3;Niuernermik Ilinniarfik, Nuuk, Aqqusinersuaq 18, Nuuk 3900, Groenland;200
1;Greece;Greece;Athens;38.0073896;23.7139405;6;5;Aftokinitodromos 1;200
1;Croatia;Croatia;Zagreb;45.7789446;15.9674269;5;1;Pav. 1, Zagrebački Velesajam, 10000, Zagreb, Croatie;200
1;Hungary;Hungary;Budapest;47.461434;18.9981659;6;1;Budapest, 1, Hongrie;200
1;Indonesia;Indonesia;Jakarta;-6.1271129;106.826793;8;1;Jalan Karang Bolong 2 No.1, Pademangan, North Jakarta City, Jakarta 14430, Indonésie;200
1;Ireland;Ireland;Dublin;53.3498053;-6.2603097;4;1;Dublin, Irlande;200
1;Isle of Man;Isle of Man;Douglas;54.1720992;-4.4783791;9;1;Isle of Man College, Holmefield Rd, Douglas IM2 6, Île de Man;200
1;Iran;Iran;Tehran;35.6936955;51.2567356;6;9;1st, Téhéran, Iran;200
1;Iceland;Iceland;Reykjavik;64.1232076;-21.9249054;9;1;Université de Reykjavik, Menntavegur 1, 101 Reykjavík, Islande;200
1;Italy;Italy;Rome;41.9001371;12.5052915;4;1;1, 00185 Rome, Italie;200
1;Kazakhstan;Kazakhstan;Astana;51.178876;71.398652;6;10;Stepan Razin Lane №1, Astana, Kazakhstan;200
1;Lithuania;Lithuania;Vilnius;54.7211245;25.3808431;6;11;Juodvarnių Sodų 1-oji gatvė, Vilnius 10236, Lituanie;200
1;Luxembourg;Luxembourg;Luxembourg;49.632489;6.175241;9;10;Hôpital Quai 1, 2540 Luxembourg;200
1;Latvia;Latvia;Riga;56.9470334;24.1064698;9;1;Museum of the Occupation of Latvia, Latviešu strēlnieku laukums 1, Centra rajons, Riga, LV-1050, Lettonie;200
1;Morocco;Morocco;Rabat;33.9620342;-6.8505112;4;8;Secteur 1, Rabat, Maroc;200
1;Moldova;Moldova;Chisinau;46.9974329;28.8077754;8;1;1, Chișinău, Moldavie;200
