Fin de la période,Pays,Code du territoire CLDR,Produit,Motif,Ordonnances du tribunal,"Pouvoir exécutif, police, etc.",Éléments dont la suppression a été demandée
12/31/2009,Corée du Sud,KR,Google Actualités,,0,1,
12/31/2009,Corée du Sud,KR,Recherche sur le Web Google,,0,18,
12/31/2009,Corée du Sud,KR,Recherche sur le Web Google : recherches associées,,0,1,
12/31/2009,Corée du Sud,KR,Blogger,,0,1,
12/31/2009,Corée du Sud,KR,Google AdWords,,0,38,
12/31/2009,Corée du Sud,KR,"Google Earth, Google Maps et Panoramio",,0,2,
12/31/2009,Corée du Sud,KR,Google Shopping,,0,1,
12/31/2009,Corée du Sud,KR,Street View,,0,2,
12/31/2009,Argentine,AR,Recherche sur le Web Google,,31,0,
12/31/2009,Argentine,AR,Google Images,,7,0,
12/31/2009,Argentine,AR,Blogger,,3,1,
12/31/2009,Canada,CA,Recherche sur le Web Google,,0,1,
12/31/2009,Canada,CA,Blogger,,0,1,
12/31/2009,Canada,CA,Google Groupes,,2,0,
12/31/2009,Canada,CA,YouTube,,0,12,
12/31/2009,Australie,AU,Recherche sur le Web Google,,0,1,
12/31/2009,Australie,AU,Blogger,,0,1,
12/31/2009,Australie,AU,"Google Earth, Google Maps et Panoramio",,0,1,
12/31/2009,Australie,AU,YouTube,,0,14,
12/31/2009,Espagne,ES,Recherche sur le Web Google,,1,11,
12/31/2009,Espagne,ES,Blogger,,3,2,
12/31/2009,Espagne,ES,YouTube,,4,11,
12/31/2009,États-Unis,US,Recherche sur le Web Google,,22,5,
12/31/2009,États-Unis,US,Blogger,,6,6,
12/31/2009,États-Unis,US,Google Groupes,,4,1,
12/31/2009,États-Unis,US,Google AdWords,,2,1,
12/31/2009,États-Unis,US,"Google Earth, Google Maps et Panoramio",,0,1,
12/31/2009,États-Unis,US,YouTube,,7,63,
12/31/2009,États-Unis,US,Google Livres,,0,1,
12/31/2009,États-Unis,US,Google Apps,,1,0,
12/31/2009,États-Unis,US,Gmail,,1,0,
12/31/2009,États-Unis,US,orkut,,0,1,
12/31/2009,États-Unis,US,Google Vidéos,,1,0,
12/31/2009,Royaume-Uni,GB,Recherche sur le Web Google,,8,2,
12/31/2009,Royaume-Uni,GB,Google Images,,1,1,
12/31/2009,Royaume-Uni,GB,Blogger,,0,1,
12/31/2009,Royaume-Uni,GB,Google Groupes,,1,0,
12/31/2009,Royaume-Uni,GB,Google AdWords,,0,1,
12/31/2009,Royaume-Uni,GB,"Google Earth, Google Maps et Panoramio",,0,1,
12/31/2009,Royaume-Uni,GB,YouTube,,0,43,
12/31/2009,Allemagne,DE,Recherche sur le Web Google,,94,4,
12/31/2009,Allemagne,DE,Google Images,,1,0,
12/31/2009,Allemagne,DE,Blogger,,7,3,
12/31/2009,Allemagne,DE,Recherche sur le Web Google : saisie semi-automatique,,4,0,
12/31/2009,Allemagne,DE,YouTube,,3,70,
12/31/2009,Allemagne,DE,Google Vidéos,,0,2,
