name,city,country,lat,lng
Angola Internet Exchange,,Angola
Botswana Internet Exchange,,Botswana
Kinshasa Internet Exchange,,Democratic Republic of Congo
Middle East Internet Exchange,,Egypt
Ghana Internet Exchange,,Ghana
Ivory Coast Internet Exchange,,Côte d'Ivoire
Kenya Internet Exchange,,Kenya
Lesotho Internet Exchange Point,,Lesotho
Mozambique Internet Exchange,,Mozambique
Internet Exchange Point of Nigeria,Lagos,Nigeria
Ibadan Internet Exchange,Ibadan,Nigeria
Rwanda Internet Exchange,Rwanda,Rwanda
Cape Town Internet Exchange,Cape Town,South Africa
Johannesburg Internet Exchange,Johannesburg,South Africa
The Neutral Internet Exchange,Centurion,South Africa
Sudanese Internet Exchange Point,,Sudan
Tanzania Internet eXchange,Dar es Salaam,Tanzania
Arusha Internet Exchange Point,Arusha,Tanzania
Uganda Internet Exchange Point,,Uganda
Lusaka IXP,Lusaka,Zambia
Zimbabwe Internet Exchange,,Zimbabwe
Bangladesh Internet Exchange,Dhaka,Bangladesh
Cambodia Internet Exchange,,Cambodia
Shanghai City Exchange,Shanghai,China
Shanghai Internet Exchange Center,Shanghai,China
TerraMark,,China
Hong Kong Internet Exchange,,Hong Kong
Equinix,,Hong Kong
Access Internet eXchange,,Indonesia
National Inter Connection Exchange,,Indonesia
Indonesia Internet Exchange,,Indonesia
Matrix Cable Internet Exchange,Jakarta,Indonesia
Biznet Internet Exchange,Jakarta,Indonesia
Napsindo International Internet Exchange,,Indonesia
National Internet Exchange of India,,India
Israeli Internet eXchange,,Israel
Japan Network Access Point,,Japan
Japan Network Access Point|JPNAP,Osaka,Japan
Japan Network Access Point|JPNAP6,,Japan
Japan Internet Exchange,,Japan
DIX-IE,,Japan
NSPIXP-6,,Japan
Kazakhstan Internet Exchange,Almaty,Kazakhstan
KINX (Korea Internet Exchange),,Korea
Asia Internet Exchange Network Access Point Malaysia,,Malaysia
Kuala Lumpur Internet Exchange,Kuala Lumpur,Malaysia
Malaysia Internet Exchange,,Malaysia
OpenMIX,Ulaanbaatar,Mongolia
Nepal Internet Exchange,Kathmandu,Nepal
Philippine Open Internet Exchange (PhOPENIX),,Philippines
Philippine Internet Exchange,,Philippines
Philippine Common Routing Exchange,,Philippines
Singapore Open eXchange,,Singapore
Singapore Internet Exchange,,Singapore
SingTel Internet Exchange,,Singapore
Sri Lanka Internet Exchange,,Sri Lanka
Taiwan Network Access Point,,Taiwan
TWIX,,Taiwan
CAT Telecom National Internet Exchange,,Thailand
TOT National Internet Exchange,,Thailand
True Internet Gateway National Internet Exchange,,Thailand
Advance Datanetwork Communication National Internet Exchange,,Thailand
CS Loxinfo National Internet Exchange,,Thailand
TT&T Global Network National Internet Exchange,,Thailand
Jastel Network Internet Exchange,,Thailand
NECTEC IIR Public Internet Exchange,,Thailand
FPT Group,,Vietnam
HANOITELECOM,,Vietnam
SAIGONPOSTEL,,Vietnam
VietNam Internet eXchange,,Vietnam
VNPT,,Vietnam
VP TELECOM,,Vietnam
VIETTEL,,Vietnam
Tashkent Internet Exchange,,Uzbekistan
Yerevan,,Armenia
Alpes Adria Internet Exchange,Klagenfurt,Austria
Vienna Internet Exchange,Vienna,Austria
Rheintal Internet Exchange,Vorarlberg,Austria
Belgian National Internet eXchange,Brussels,Belgium
Free Belgian Internet Exchange,Brussels,Belgium
Bulgarian Internet eXchange,,Bulgaria
Varna Internet Exchange,,Bulgaria
Croatian Internet Exchange,,Croatia
Cyprus Internet Exchange,,Cyprus
Neutral Internet Exchange of the Czech Republic,Prague,Czech Republic
Commercial Brno Internet Exchange,Brno,Czech Republic
Danish Internet Exchange Point,Kongens Lyngby,Denmark
Tallinn Internet Exchange,Tallinn,Estonia
Tallinn Internet Exchange (2),Tallinn,Estonia
Finnish Communication and Internet Exchange,Helsinki,Finland
Tampere Region Exchange,Tampere,Finland
France-IX,Paris,France
French National Internet Exchange IPv6,Paris,France
Metropolitan Area Ethernet,Paris,France
Mix Internet Exchange and Transit,Paris,France
Paris Internet Exchange,Paris,France
Paris Operators for Universal Internet Exchange,Paris,France
Service for French Internet Exchange,Paris,France
Free Internet Exchange,Paris,France
Paris NAP,Paris,France
EuroGIX,Alsace,France
Grenoble Network Initiative,Grenoble,France
Lyon Internet Exchange,Lyon,France
Marseille Internet eXchange,Marseille,France
PhibIX,Saint-Étienne,France
Alps Internet Exchange,Munich,Germany
Berlin Commercial Internet Exchange,BCIX,Germany
German Internet Exchange,DE-CIX,Germany
International Internet Exchange,DataIX,Germany
European Commercial Internet Exchange,ECIX,Germany
Frankfurt Internet Exchange,Frankfurt,Germany
Frankfurt Network Access Point,Frankfurt,Germany
INXS Hamburg,Hamburg,Germany
WorkIX Hamburg,Hamburg,Germany
INXS Munich,Munich,Germany
Kleyer Rebstöcker InternetExchange,Frankfurt,Germany
MAE Frankfurt,Frankfurt,Germany
Munich Commercial Internet Exchange,Munich,Germany
Nürnberger Internet Exchange,Nuremberg,Germany
Athens Internet Exchange,Athens,Greece
Greek Internet Exchange,Athens,Greece
Budapest Internet Exchange,Budapest,Hungary
Reykjavik Internet Exchange|Reykjavík Internet Exchange,Reykjavík,Iceland
Internet Neutral Exchange,Dublin,Ireland
Friuli Venezia Giulia Internet Exchange,Udine,Italy
Milan Internet Exchange,Milan,Italy
Nautilus Mediterranean Exchange Point,,Italy
Torino Piemonte Exchange Point,Turin,Italy
Tuscany Internet Exchange,Florence,Italy
Kosovo Internet Exchange,Pristina,Kosovo
Latvian Internet Exchange,Riga,Latvia
Santa Monica Internet Local Exchange,Riga,Latvia
Rheintal Internet Exchange,Liechtenstein,Liechtenstein
Lithuanian Internet Exchange,Vilnius,Lithuania
Luxembourg Internet Exchange,Luxembourg,Luxembourg
Luxembourg Commercial Internet Exchange,Luxembourg,Luxembourg
Malta Internet Exchange,Msida,Malta
Moldavian Internet Exchange,Chişinău,Moldova
Amsterdam Internet Exchange,Amsterdam,Netherlands
Netherlands Internet Exchange,Amsterdam,Netherlands
Nederlands-Duitse Internet Exchange,Enschede,Netherlands
Groningen Internet Exchange,Groningen,Netherlands
Friese Internet Exchange,Leeuwarden,Netherlands
XchangePoint Amsterdam IPP,Amsterdam,Netherlands
Den Haag Internet Exchange,The Hague,Netherlands
Rotterdam Internet eXchange,Rotterdam,Netherlands
Norwegian Internet Exchange,Oslo,Norway
